Date,PR,GHI
27-11-2019,81.48757264,4.909691667
28-11-2019,65.5584894,5.075216667
29-11-2019,78.72331671,5.35635
30-11-2019,60.77978722,4.935858333
01-12-2019,61.25222241,5.164416667
02-12-2019,61.31309634,4.657616667
03-12-2019,60.40035154,3.829925
04-12-2019,80.60564465,4.460291667
05-12-2019,73.77890815,4.068883333
06-12-2019,83.93623574,5.344333333
07-12-2019,80.91636115,4.428558333
08-12-2019,81.46790449,5.077075
09-12-2019,61.30788505,5.0002
10-12-2019,60.54377212,4.376766667
11-12-2019,68.95062491,5.168558333
12-12-2019,76.98429416,4.644183333
13-12-2019,75.90255117,4.143758333
14-12-2019,84.88059762,4.925783333
15-12-2019,76.07204674,5.208358333
16-12-2019,78.14347624,4.99965
17-12-2019,77.94346736,4.757833333
18-12-2019,70.36822921,4.156325
19-12-2019,78.06714009,3.243291667
20-12-2019,64.69162537,4.259316667
21-12-2019,82.21676331,4.399291667
22-12-2019,60.49224797,4.312083333
23-12-2019,80.25737052,4.073933333
24-12-2019,67.74430231,3.98975
25-12-2019,67.63623348,4.621975
26-12-2019,75.19495773,3.447866667
27-12-2019,75.95471354,4.633091667
28-12-2019,76.32490555,4.370766667
29-12-2019,73.80300758,4.674466667
30-12-2019,84.08749907,3.726258333
31-12-2019,80.96501977,4.288491667
01-01-2020,83.70730941,5.07465
02-01-2020,68.11311075,4.731758333
03-01-2020,63.18895586,4.44045
04-01-2020,60.44237102,3.618475
05-01-2020,81.86359152,4.872125
06-01-2020,70.89008782,4.023158333
07-01-2020,67.39285215,4.219875
08-01-2020,64.29792409,3.9045
09-01-2020,65.62512904,4.863875
10-01-2020,72.34655683,4.460858333
11-01-2020,65.55901557,3.445625
12-01-2020,65.92991342,2.95095
13-01-2020,67.91174794,4.940891667
14-01-2020,74.22727911,5.287825
15-01-2020,69.69250469,5.303925
16-01-2020,72.97746538,4.468491667
17-01-2020,80.58311758,4.801725
18-01-2020,77.46247881,3.778675
19-01-2020,66.24289263,4.791725
20-01-2020,72.96244806,5.269483333
21-01-2020,82.20132235,4.84485
22-01-2020,79.48746197,4.168266667
23-01-2020,83.05266113,4.586733333
24-01-2020,68.40994828,5.462783333
25-01-2020,76.61827091,5.043483333
26-01-2020,61.44432892,5.185541667
27-01-2020,84.4285727,4.759466667
28-01-2020,79.5164149,5.548808333
29-01-2020,74.37671701,4.882208333
30-01-2020,72.74831232,4.496141667
31-01-2020,74.59827958,4.346266667
01-02-2020,71.53914034,3.808933333
02-02-2020,81.08305582,4.807375
03-02-2020,76.69208752,5.049441667
04-02-2020,60.07748076,4.772808333
05-02-2020,79.76798567,5.172516667
06-02-2020,68.61560135,4.62125
07-02-2020,68.221907,5.256708333
08-02-2020,67.14574438,4.639883333
09-02-2020,76.95976768,3.420391667
10-02-2020,81.43525406,4.015516667
11-02-2020,69.42633522,5.081233333
12-02-2020,64.03814869,4.590058333
13-02-2020,70.12644246,5.550083333
14-02-2020,82.65052929,4.707008333
15-02-2020,72.65061161,5.042708333
16-02-2020,75.54118779,4.418366667
17-02-2020,81.3842326,5.067591667
18-02-2020,77.90623055,5.636816667
19-02-2020,76.79041536,6.350425
20-02-2020,83.89612571,5.145483333
21-02-2020,83.53209907,5.7667
22-02-2020,69.68113594,6.243441667
23-02-2020,60.06530537,6.434125
24-02-2020,62.6673872,6.1229
25-02-2020,78.0071967,5.188775
26-02-2020,65.72326849,5.680933333
27-02-2020,65.54940032,5.403366667
28-02-2020,64.56595764,6.12265
29-02-2020,82.30482922,5.796691667
01-03-2020,74.88923695,5.176516667
02-03-2020,63.66429443,4.816608333
03-03-2020,72.6161465,4.1532
04-03-2020,70.46245743,4.285125
05-03-2020,62.78228328,4.463325
06-03-2020,83.10785383,3.399758333
07-03-2020,62.56384478,5.052308333
08-03-2020,78.41201713,4.931158333
09-03-2020,70.01554065,4.916208333
10-03-2020,79.59305672,5.029041667
11-03-2020,70.73858114,4.954483333
12-03-2020,61.86801705,6.153458333
13-03-2020,82.27915168,6.144225
14-03-2020,75.00459407,5.178616667
15-03-2020,64.78337215,6.693333333
16-03-2020,81.32610463,6.1471
17-03-2020,66.79593751,5.987283333
18-03-2020,74.95654113,5.698666667
19-03-2020,73.80255292,5.195333333
20-03-2020,70.69409106,6.153958333
21-03-2020,81.5368371,6.044691667
22-03-2020,72.19813593,6.300491667
23-03-2020,77.8618266,5.735908333
24-03-2020,77.59843007,5.065016667
25-03-2020,66.46583975,5.75035
26-03-2020,65.64295468,5.283633333
27-03-2020,78.16473702,5.239491667
28-03-2020,73.16790602,4.19995
29-03-2020,78.50808763,5.704341667
30-03-2020,75.83693391,5.285141667
31-03-2020,60.67226397,4.233066667
01-04-2020,82.11412349,5.621783333
02-04-2020,74.55928009,5.678833333
03-04-2020,66.57508661,6.185891667
04-04-2020,62.87570892,5.683275
05-04-2020,75.3222915,6.892741667
06-04-2020,81.68313782,5.083058333
07-04-2020,61.78406378,4.884625
08-04-2020,77.17234434,3.9222
09-04-2020,60.87938942,5.728558333
10-04-2020,71.28257684,5.737091667
11-04-2020,82.41476398,4.889091667
12-04-2020,76.130166,5.596908333
13-04-2020,75.91324908,1.867816667
14-04-2020,70.20791599,4.534533333
15-04-2020,66.79622733,4.452058333
16-04-2020,77.3903263,5.429983333
17-04-2020,84.3892094,4.472725
18-04-2020,77.60284402,5.449091667
19-04-2020,80.89820241,5.1757
20-04-2020,79.2948459,5.584291667
21-04-2020,76.03952017,6.457483333
22-04-2020,77.48334589,4.577166667
23-04-2020,62.82706934,5.740241667
24-04-2020,84.1218026,5.062733333
25-04-2020,65.11002022,5.805525
26-04-2020,75.44146139,5.5169
27-04-2020,81.05356964,6.154783333
28-04-2020,64.64080488,5.878933333
29-04-2020,74.85887606,6.08545
30-04-2020,63.15958673,5.207166667
01-05-2020,66.45267836,6.03805
02-05-2020,72.70199367,4.663708333
03-05-2020,61.52043168,5.464791667
04-05-2020,83.57701162,4.592633333
05-05-2020,72.70031641,4.253583333
06-05-2020,64.16616159,4.880816667
07-05-2020,73.66441626,4.841466667
08-05-2020,79.27741162,4.510683333
09-05-2020,75.53316584,4.7767
10-05-2020,77.48359923,5.5035
11-05-2020,62.99092766,3.838958333
12-05-2020,83.66946472,4.668425
13-05-2020,61.29004466,5.32895
14-05-2020,79.66622125,5.247483333
15-05-2020,73.66880954,5.217991667
16-05-2020,60.20311141,4.272483333
17-05-2020,70.90608973,4.650916667
18-05-2020,74.52685415,6.124416667
19-05-2020,67.26114675,6.448066667
20-05-2020,70.21361199,3.399866667
21-05-2020,82.32711052,6.2427
22-05-2020,80.67790069,6.165941667
23-05-2020,62.74954517,1.4891
24-05-2020,81.82315425,5.269075
25-05-2020,75.91676788,4.344958333
26-05-2020,67.16432717,6.278041667
27-05-2020,75.5982992,5.529083333
28-05-2020,60.14444599,4.094625
29-05-2020,78.11811297,3.191908333
30-05-2020,74.37539486,4.843125
31-05-2020,79.16048578,5.349741667
01-06-2020,71.53446031,5.753025
02-06-2020,64.08646177,5.967441667
03-06-2020,80.38717989,6.481433333
04-06-2020,60.82239997,3.482566667
05-06-2020,75.2775677,6.091116667
06-06-2020,80.05087178,4.356791667
07-06-2020,76.95485378,5.720458333
08-06-2020,77.23057649,6.532991667
09-06-2020,61.45226716,3.159608333
10-06-2020,80.56177209,2.94105
11-06-2020,80.49167267,4.143441667
12-06-2020,76.09915651,5.833833333
13-06-2020,79.12138992,4.894733333
14-06-2020,69.28932896,2.969216667
15-06-2020,81.96849911,4.313208333
16-06-2020,77.38420173,4.991241667
17-06-2020,80.78633305,5.370116667
18-06-2020,70.69656628,6.145133333
19-06-2020,63.21001611,3.97175
20-06-2020,65.50143335,5.586458333
21-06-2020,60.59029075,3.6268
22-06-2020,71.52459314,5.206775
23-06-2020,76.83622871,5.4909
24-06-2020,65.04704193,4.751008333
25-06-2020,70.15457285,3.24855
26-06-2020,74.3154578,5.469508333
27-06-2020,74.96356782,5.332758333
28-06-2020,77.37486539,3.041866667
29-06-2020,70.47128212,2.168291667
30-06-2020,65.03854779,2.612158333
01-07-2020,60.27022685,4.446141667
02-07-2020,72.57201088,5.703241667
03-07-2020,60.52503388,4.314441667
04-07-2020,69.59664044,5.0388
05-07-2020,61.4168444,3.555841667
06-07-2020,60.63686397,3.430008333
07-07-2020,70.1795035,5.052775
08-07-2020,70.98429495,4.669158333
09-07-2020,62.52589819,4.819108333
10-07-2020,79.04237853,5.808341667
11-07-2020,61.03987646,5.056216667
12-07-2020,83.20947604,5.706333333
13-07-2020,79.82261729,5.080458333
14-07-2020,83.21232225,6.802625
15-07-2020,82.87603269,6.373325
16-07-2020,84.72339623,3.385833333
17-07-2020,70.1763765,4.903241667
18-07-2020,63.41637107,3.602683333
19-07-2020,74.51663485,5.185658333
20-07-2020,61.60675397,4.802258333
21-07-2020,74.38164019,3.878741667
22-07-2020,68.78996992,5.033941667
23-07-2020,80.34768649,5.238233333
24-07-2020,83.21377527,4.326291667
25-07-2020,63.95863352,5.342891667
26-07-2020,74.81788739,4.191575
27-07-2020,78.84769573,6.463783333
28-07-2020,73.53916359,4.672008333
29-07-2020,84.27499891,5.826408333
